"","U7 NRO","U6 NRO","U5 NRO","U4 NRO","T7 NRO","T6 NRO","T5 NRO","T4 NRO","T4 Total","T5 Total","T6 Total","T7 Total","U4 Total","U5 Total","U6 Total","U7 Total"
"FAM13A",8.36881567534624,8.29753920838273,8.41262163963145,7.72060228484255,6.46809981540894,6.60527087182887,6.28910935218216,6.39282945094394,6.29897069031886,6.00776173502597,6.32826613096092,6.33619269235997,8.4913502815092,8.48694200837325,9.03272415811447,9.11976859167219
"EBI3",6.68501066187586,6.31369094663775,6.5610165729896,6.85692517195159,8.26100441019705,7.99859327365691,8.43066449005887,8.05572056251826,9.01766156439433,9.17173397685101,9.5870276210095,9.35522057229705,7.58967727941716,6.95147590879866,6.94884738400089,6.91141721374969
"CEBPZ",7.40195127950679,7.03900958674313,7.28132749952465,7.00016651044959,6.60494049758746,6.49901247232645,5.94226871348885,7.20592635994636,9.32391743248631,9.40889156604897,9.66382851673093,9.68091541320119,9.95112682089826,9.69160604588997,10.2854601638795,10.4848795099197
"RCL1",8.03159973275654,8.04947000262006,7.9783124223993,7.44396044933027,6.55589224621107,6.8339689242726,6.59549602142147,6.7747064104123,7.75163482362016,7.40709682412583,7.96509250784994,7.82825014467518,8.8197282464555,8.85363363110798,9.16795879481474,8.98609333258355
"CNIH1",6.85904861305912,6.87697956783628,6.95735713797108,6.93379960585817,6.0563161876965,5.92855979197843,6.43097057314081,5.96489560175003,8.77327481908436,8.66853210333102,8.85569383539223,8.86926452322666,9.5110226003174,9.25052982379507,9.56470111205832,9.46881457388438
"TNK2",8.5161121517406,8.63337083620728,8.49200144304331,8.60136402219953,9.00865944367019,9.0187499169447,9.13493966278677,9.03778981265639,7.89398639098637,8.07354339414365,7.82135177658919,7.87749090546959,7.42456454079056,7.50264129198402,7.22246347193095,7.30726425817202
"DDX39A",9.99084709003941,9.9834403338153,9.95234360165161,9.54732089385155,8.65887933256329,8.75289754172389,8.50117659384795,8.65207234050814,9.00451710065404,8.99431025234379,9.1463526371875,9.09919320427777,10.2547926755931,10.3483844732123,10.3318486017921,10.4201491674044
"GPHN",7.21979221210079,7.30955154430381,7.24494160711097,7.07281886106427,5.64060656278153,6.08814585493033,6.00401600832136,5.96285095882014,6.18589264219064,6.09746775208755,6.32480297171961,6.30454515878185,7.73485923650996,7.70158788249458,8.2220830984361,7.97754772352591
"RABEPK",8.05787606900389,7.94217212941528,8.00857539470243,7.55256337104726,6.09465008848037,6.23525725117815,5.97231469998829,5.97438444456302,6.53306236052777,6.55719135171347,6.58578970495624,6.65355646959034,8.17043079332265,8.30181518966878,8.61598008482329,8.43496679636506
"RIDA",7.10860128795702,6.96296093622854,6.82046989962817,6.08209302966101,4.74594108034856,4.53205288095879,4.83799340128976,4.69704077341343,7.01337217660711,6.38154849899087,7.06317956232981,6.6810421872391,8.68019358248399,8.4949865275548,9.25550707041321,9.04596071619187
"CDKN3",8.12694228661903,7.87151093969167,7.93245752931675,7.10193011358,5.92915494320986,6.00454837347218,5.74137265830407,6.04812140629414,7.54407224798947,6.79105201279834,7.5801998093326,7.40796892780326,9.1682293486278,8.73663285779914,9.28876813617961,9.04426031632542
"NPM3",8.46340329273704,8.32025015957283,8.44130868675061,8.10326270948656,6.79062353175541,6.50618268628401,6.75869529220104,6.62418652427808,7.02612114769663,6.98247157533829,6.92894351436697,6.83558869880616,9.21985739628155,9.60075904469888,9.44790768162792,9.49846350001288
"TUBB4A",7.54831603710342,7.46153561875228,7.16745031000075,7.15483836413457,6.27378746997482,6.5314995343959,6.39353966221345,6.40400955365554,7.19780107882942,7.31902265308813,7.24215639373582,7.15475429857638,7.89438328070718,8.12751384689985,7.96753074525677,8.10638482261703
"PEMT",7.7403332292339,8.02912713098259,7.85414678601006,7.42348059962704,6.35076414112788,6.24686362827161,6.32394683333342,5.96838425985117,6.38409423122563,6.58664886176463,6.34106655971862,6.28993650379106,8.15460776068616,8.43520869433604,8.33428869398213,8.06804990909917
"BASP1",8.47710101810433,8.47327104543984,8.23915644760609,8.55801843592242,9.762892811969,9.85124354600505,9.68101204942808,9.6884730748856,9.33815473865857,9.30415766583042,9.11802949965172,9.25014464721086,8.24151698442906,7.92648958028904,7.70227657533251,7.76534483811485
"PRMT5",9.95652216907509,10.0059051658871,9.87744602169003,9.41800809446372,7.43775003903597,7.70383081603115,7.5981700307239,7.73674323796181,7.89353092177814,7.85859939498501,8.17115290062583,7.98786360388799,9.99263337301048,9.8520640779353,10.2768577439012,10.1253966356344
"CD52",9.22665813490037,9.26292727663701,9.03186587547548,8.53524418188438,10.1045273532827,10.2415805311426,10.2533831057182,10.4517497931571,12.5926668757238,12.3917795839707,12.7919974433297,12.7752107343149,11.9002844698201,11.0420335213568,11.6542472346312,11.7604415089236
"TMEM147",8.39830997074561,8.16286674964583,8.24540638034616,7.79266560458352,7.29984729181098,6.69640755507774,6.69482740948693,6.67317343879428,8.2046724114139,8.26493734422204,8.43166115690807,8.299739198061,9.69177751323796,9.92701891069691,10.028605942734,10.0587349593412
"MAD2L2",8.1849435496522,8.28792615080796,8.13331315121584,7.81103964000862,7.13514106339037,7.12779163649035,7.23493325059751,7.19215240036196,8.292781959923,8.36850731024098,8.28313853605818,8.39783279526782,8.91511534414047,9.04700806971896,8.99069970234526,9.29660283071297
"TIMM44",9.28670714733958,9.28766075903714,9.28676842768188,8.72529003085412,7.2915787036949,7.52942287413019,7.47755513781318,7.52073077431427,7.64765561134678,7.85885669667135,7.89606133463171,7.92970569674152,9.28631270746125,9.44925622678423,9.45421269488385,9.59041912287474
"EIF3M",9.8042544396678,9.71893498960869,9.74353332449013,9.18157781943894,8.00093714033726,8.14747696167635,7.74417260371486,8.17747920848042,10.086178091183,9.94278738112135,10.1267965537713,10.1200300357556,10.9477540437157,10.4144512546936,11.1363921748549,10.9439078989292
"MYBBP1A",10.3067343872974,10.4870891156721,10.3229621296021,9.90442135506158,7.98832669179193,7.97617412767924,7.86188945981107,7.86390483678322,7.36434786113632,7.54306730413518,7.28223662764302,7.23857891605369,9.27069385261579,9.49016439324411,9.42926681186196,9.3682358586152
"RNASEH2A",8.10328513289566,8.12300450316273,7.90708514178261,7.81929015037589,7.19073455638075,7.0516316995692,6.87636961232205,6.97486805826318,8.35263967313186,8.16565481769073,8.51783287024635,8.30299672406783,9.06238764751838,9.13832850556495,9.13449087333824,9.18803579538182
"ANP32B",7.59339784068009,7.68474149566186,7.8123236122645,5.99805790933194,6.07817262917796,5.2739393399595,5.14013497254203,5.67642134701374,10.1444779195021,9.58229370778123,10.307887233992,10.2608193634038,11.1283218993166,10.2868194140272,11.5021651784382,11.1018653296024
"PRDX4",8.10084526794428,8.1393898597956,8.20308207669236,7.40421576990462,5.73637387583491,5.99765793725452,5.59727852560699,6.11266742365957,7.7661069914226,7.81864487583625,8.22944256928013,8.06898001241336,9.65277406905852,9.34627840910315,9.9369780087983,9.78921654732357
"ARPC1A",6.65008762127322,6.54613497964153,6.65701619717081,6.36197988559468,6.0378017533091,6.4457613452461,6.60637566166672,6.2566589556553,8.88783652245917,9.30899014335031,9.13269541544783,9.05909169067362,8.68850188706128,8.56289461230824,9.29052931074076,9.28630173928171
"RABAC1",8.84952438698316,8.98924236573677,8.88212805667916,8.90233729317721,8.69193993609731,8.52347428425458,8.75357450603383,8.61829625609242,10.1720695688245,10.1666296061869,10.1737901426728,10.121114691315,10.0454802705309,10.1178575256671,9.9508877553062,10.1466981948502
"CCT7",10.8909320091257,10.7926712589062,10.672528762693,10.1895307118683,9.05794601275859,9.18521768464002,8.81112880366148,9.22621463409631,10.6765421643086,10.6383943774287,10.7385416336381,10.7776639322354,11.4883168561676,11.1864683238625,11.807810309888,11.8419286796092
"CCT2",9.77208341166283,9.7918898958003,9.79163474546002,9.39984874487975,7.42157877739997,7.92731118429496,7.53731814901419,7.90438097509112,9.82936991116647,9.69027258973082,10.2844556166833,10.1013716316299,11.4014336284243,10.8956860846518,11.6399509348426,11.529209895396
"AHSA1",9.83156580350898,9.76318494638474,9.70201803283413,9.41458049321812,8.01918820033972,8.39713654369076,8.07479728908281,8.33660531995318,9.61636740685465,9.38844178420774,9.91298039064909,9.70404936048541,10.6274843087479,10.497049065728,10.8464198722739,10.7299501027134
"PAICS",8.6018559672221,8.82016180146166,8.41728724598036,7.9062448042486,6.05940387350461,6.30416469515325,6.00889117240573,6.15995489849558,7.25114875264374,7.14308903467863,7.13054218150108,7.46233413099312,9.54289467844518,9.10140126331405,10.1567198783426,9.82470695016749
"SPAG5",8.29955670103093,8.27396082219433,8.21957832403349,7.96932774916917,6.83780468562796,6.98792682901862,6.80979410484414,7.1663251945493,7.16538306096552,6.86235411733808,7.11508128295946,7.02949166087061,8.33359938979663,8.2517999511385,8.58747386145837,8.46900287796197
"RAD51AP1",7.16521565508386,6.98418514737802,7.01728625763939,7.20665111439167,6.03126062354064,6.46665349333546,6.25706018090487,6.49332616720701,7.61180932258212,7.28772488291031,7.76665277663862,7.79912995148741,8.59411414866167,8.14296542865486,8.73879136066301,8.54607429773398
"CAMKK2",7.88707674554932,8.03730009795655,7.93986061398455,7.71219456106195,6.52683535760704,6.22624939382928,6.32396225094895,6.31543574843325,5.89522892882945,6.27073917146471,6.07297144793689,5.96462905786063,7.54332054762928,7.60691549345007,7.73635660088466,7.62879633532582
"CELF1",9.61097760710747,9.57605398321618,9.53136072000975,9.26895198540051,8.72541245630524,8.96626247516627,8.75937267890954,8.93583967038385,7.81680632404131,7.60515250168125,7.897024239865,7.80303430547883,8.55500764710298,8.53030655565311,8.69081391780493,8.52679689183388
"B3GNT2",6.82873634739228,6.72094803511456,6.77502983261997,7.00829754755983,7.88357848859966,8.03257022207265,7.78562486815737,7.95301483545133,9.74943856816712,9.84334050949106,9.71501525847618,9.85518203332703,8.56042357115752,8.05712642238724,8.47003748566166,8.80511622499801
"EBP",8.17503134710281,8.08459332820606,8.02746399907414,7.35642809197393,6.60329456140881,6.63312046001451,6.8838943229817,6.77934165975621,7.92712827255593,7.90470853841469,8.18116113702758,7.8916317970598,8.91041587723801,8.9223455919278,9.24725156032053,9.08416371670741
"CETN2",5.83047980672259,5.71877635897266,5.7408588798859,5.71308461276296,5.1778286833059,4.78910644339244,5.11299806529905,5.06239158097297,6.58563599235144,6.37432138350091,6.88694804701427,6.25474490992682,7.74524306321382,7.34578871186009,8.06711165651967,7.76364264637718
"CTSC",8.20876231143918,8.14013752152895,8.06495063612109,7.72784962030713,6.66887872956589,6.60982715414296,6.77897901177713,6.81007694769585,7.77637654885732,7.54006494195618,7.87634044181396,7.71645770563961,9.01054242097171,8.82984870306636,9.4088721391536,9.20538037133507
"WDR4",9.91114687094963,10.0808303443779,9.96292599539457,9.63129517702226,7.66063509543655,7.70190652701651,7.86518486308184,7.63130183123889,7.10307483606118,7.09873533149651,7.05540428062045,7.18097180404352,9.37283189113846,9.54996682533003,9.5601590946163,9.69222905502297
"MTHFD2",9.21316403834386,9.59077909243376,9.2856550098016,9.26471869457396,8.04540816978824,7.99651253629487,7.56649427306848,7.86919618243025,9.42306058156408,9.61614445681539,9.83921778582055,9.52755546760842,10.3546107576577,10.3125111466853,10.7689410231834,10.7131990707954
"ENTR1",9.44949599733983,9.65309516565446,9.57849987222931,9.34839164658903,8.02849918014378,8.26061005948299,7.9512784413867,8.08966156235234,8.42412439953076,8.25202089700914,8.4138614021829,8.36851438066821,9.43132254319973,9.4381244281664,9.55731790990773,9.36528919060957
"RUVBL2",9.79538137545118,9.77653547954017,9.6168441904373,9.26424436210604,7.86858963964182,7.83338162853744,7.75158394028663,7.77340673985683,8.78970689682057,8.72906326943634,8.7680845121921,8.77489470792866,10.2244357987884,10.3722244244053,10.4713575864082,10.5218445029567
"HCP5",6.31999261416768,6.30272482296116,6.0875891093047,6.84489382266,8.11673644287813,7.97889204203675,8.08246464593474,8.37895750731289,9.41879750726683,9.2045868902595,9.41116950521853,9.45560726247227,7.64631941185171,6.9448493011783,7.10146471081554,7.14601184979517
"HCST",6.51544154816042,6.52823951905509,6.45870347458647,6.65029032653017,8.04652112727416,8.17959922066094,8.14046598592499,8.21781544040261,10.5084572980093,10.3927648208502,10.6708231268619,10.5589490332322,8.89950178113467,8.25609755531944,8.17169604549007,8.32124426195518
