"","U7 NRO","U6 NRO","U5 NRO","U4 NRO","T7 NRO","T6 NRO","T5 NRO","T4 NRO","T4 Total","T5 Total","T6 Total","T7 Total","U4 Total","U5 Total","U6 Total","U7 Total"
"3881010",1.25832342940602,2.6288678039301,3.76112711809339,3.10283365600339,2.78765556704288,2.2716178442685,3.44777317259458,2.61177090120745,1.67723470326279,3.35975487439937,3.65158145295102,2.69478633025819,4.04330330610032,1.88559793849176,3.37572288644697,1.99260952537208
"2500275",7.68855403765919,7.81619967315134,7.78213493849693,7.02792231363151,6.25184878831139,6.27285219868613,6.41695892079508,6.4307255990498,5.56564258134576,5.48199333797149,5.8029905959851,5.82530945760311,6.49603857049264,6.56050526729883,6.84255680377794,6.81426604829622
"3259785",4.88156131035613,4.90126515218721,5.23144079442711,4.9852679515218,5.8394298989837,5.60998182823722,5.72594764797358,5.49624324843541,6.22267078152283,6.36696698520872,6.59193627390212,6.05628779332191,5.25809018225339,5.47204739690614,5.25343727189274,4.86657512048547
"3817501",9.18273157822985,9.23302448546674,9.24784256284271,9.01627635420665,7.54163001592208,7.6635175948673,7.61646904579915,7.80203787716684,7.26850489745761,7.16366553416758,7.13237521068638,7.1402387064992,8.54400677075669,8.58147855505673,8.67726115672845,8.55179293193897
"3527418",7.05108477605301,7.07684692398682,7.0463966259327,6.75087166672659,6.16139321108912,6.33229551974815,6.23548310031055,6.42776707658926,6.98929360594743,6.85498715750733,7.41496190969895,6.97479869778736,7.98194813050525,7.34397203976226,8.25030470469242,7.85741973476464
"3944046",7.43487443462564,7.44558774423454,7.49314010111314,7.18672853584442,6.29549881786863,6.54992277814171,6.35362799148375,6.54476891704047,6.30992177708998,6.12246143429795,6.51688964775414,6.41366319944644,7.53572086347939,7.36451925333215,7.73392530636129,7.58337798092294
"2363992",6.17357453214763,6.47487000232914,6.27550772368858,6.35670558287423,6.58117317704162,7.0223291778356,6.89655786608969,6.81149758169204,4.99192364252533,5.11887246208355,5.56847777548145,5.22921217859374,5.28218342950371,5.67475216071965,5.15146588455877,5.14528429401158
"3759335",8.77216985868108,8.90646037082271,9.02523579437316,8.5439723265812,6.5984647045687,6.60111300329539,6.42471224734808,6.65878765799889,6.45790979566456,6.25523130076126,6.31747877667316,5.86059961701607,8.02626477669708,8.25559950658993,8.50382751014789,8.30907533890928
"2601021",7.96294945040771,8.05346704637424,7.94091531628218,6.98386700898273,5.64151118658239,5.84945530274956,5.82710440033936,5.7137416451593,7.19095237738276,6.94131234840305,7.54728778474376,7.53442146864858,9.34681302656888,8.89950769466771,10.0114951706345,9.93347235272442
"2708287",7.09081295769961,7.29691899810809,7.19518076416257,6.77788492779793,6.81633878015361,6.79231846066687,6.76193783362074,6.77879643508554,5.89144618248555,5.85034153338991,5.75622745385107,5.84380933297475,5.98006039197446,6.16234148281266,6.28645688352234,6.34471485126109
"3339261",6.8495022039999,6.99132778002522,6.93750095044308,6.90106268767773,7.19358188406127,7.24622023318317,7.24656919766533,7.24498713240735,5.80312811386463,5.94627582193278,5.77019915627333,5.85026778784512,5.62724916297555,5.81146714061654,5.51528867727006,5.39631374891217
"3928040",5.9890735238693,6.04199895527896,6.06246589692676,5.61220909293828,5.07505892415992,5.50623408550979,5.6397941482324,5.46480960830477,7.11645133733692,7.02662405088657,7.50764915169137,7.22986028842677,7.60236736015413,7.50770795887356,7.73383115652875,7.68145986556799
"3336238",8.25377890482891,8.23227120811848,8.18259628075763,8.00322836417826,7.71413399399966,7.72648577109252,7.73243303518848,7.85982194627706,8.53375764705172,8.48222607477558,8.69621796531056,8.4443559779226,8.91451038722503,9.0352186319948,8.92997957038372,8.78383773311623
"3633522",6.79677251576777,6.87149912958786,6.6072535878744,6.41034279729899,5.97165484921033,6.05179939817602,6.32820241746337,6.32905357811216,7.11924884681059,6.81380007019794,7.36799108959593,7.20357050535383,7.6206637259237,7.29420636975537,7.9690426265549,7.7011137084395
"3317253",7.06142821327068,7.18625391365405,7.03723297005047,7.46158959529434,8.24464068962616,8.0403259889674,8.041274403459,8.07383000090247,7.64783425570732,7.65503310829229,7.33958329375576,7.3959670981042,6.8014063842711,6.78213555262531,6.29969847559737,6.46061767492321
"3377737",6.42435242146295,6.36967070577472,6.45192477109186,6.71172610292459,6.60173997725814,6.46544312768013,6.55517095682554,6.31474097358207,5.73668994590487,5.96685563038678,5.46352718524448,5.7572781549355,5.49778702131754,5.80863233396267,5.24910062506653,5.1396234580657
"3014714",9.24549955495863,9.33651387221234,9.15080116541493,9.07339022244414,9.91344783537538,9.90538421969568,9.84045219513751,9.79835437853075,11.4357678055619,11.4716472524147,11.4289240655279,11.3887401546125,10.5877940601975,10.0250371038243,10.3259917137852,10.4716320175303
"3644162",8.70093721916776,8.85721866280938,8.761505311535,8.71579303553225,7.76390971129503,7.68733537232475,7.75559525703087,7.72618933963558,8.46919559295202,8.47175786839729,8.35230504445196,8.32231385510747,9.03253770445076,9.31775416350698,9.05918673747564,9.13421601500264
"3418551",8.02464889633478,8.11719105991857,8.06869963328873,7.73881868827621,5.64786656082369,6.47168102980632,6.0886863573831,6.41063113055749,7.76174173445722,7.65789818264153,7.92227476045205,7.73911979881638,9.19871729274143,9.04371846962336,9.72407431343087,9.40397326793487
"3253880",8.76098013825063,8.79593775731943,8.76556729914157,8.30796485908786,7.18685779390706,6.87993087979888,6.67384518192678,6.84266737064186,7.34697290919846,7.55910451672676,7.22507826984449,7.20220349217077,9.37123044498271,9.41509011390193,9.65727849157132,9.63193023740155
